Prompt,Response
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Nausea ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Muscle aches ,  Feverish ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Diarrhea ,  Abdominal pain ,  Rashes ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Irritability ,  Sore throat ,  Headache ,  Cough ,  Loss of appetite ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Feverish ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Muscle aches ,  Loss of appetite ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Diarrhea ,  Rashes ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Chills ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Rash on hands and feet ,  Irritability ,  Blisters ,  Fatigue ,  Headache ,  General discomfort ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Fatigue ,  Chills ,  Rashes ,  General discomfort ,  Fever ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Bloody stools ,  Stomach cramps ,  Headache ,  Dehydration ,  Loss of appetite ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Sore throat ,  Headache ,  Cough ,  Vomiting ,  Body aches ,  Rashes ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Swollen lymph nodes ,  Sore throat ,  Red eyes ,  Vomiting ,  Abdominal pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Muscle aches ,  Nausea ,  Abdominal pain ,  Dehydration ,  Chills ,  Body aches ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Low-grade fever ,  Nausea ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Body aches ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Swollen lymph nodes ,  Cough ,  Red eyes ,  Diarrhea ,  Abdominal pain ,  Rashes ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Measles and is experiencing symptoms like Hacking cough ,  High fever ,  Running nose ,  Red and watery eyes ,  Small white spots inside the cheeks ,  Tiredness ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Headache ,  Loss of appetite ,  Body aches ,  Feverish ,  Chills ,  Joint pain ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Headache ,  Fatigue ,  Loss of appetite ,  Body aches ,  Rashes ,  Chills ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Sweating ,  Body aches ,  Rashes ,  Irritability ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Fatigue ,  Loss of appetite ,  Dehydration ,  Chills ,  Rashes ,  General discomfort ,  Fever. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Body aches ,  General discomfort ,  Fever. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Bloody stools ,  Stomach cramps ,  Muscle aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Muscle aches ,  Nausea ,  Fatigue ,  Rashes ,  Fever ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Irritability ,  Fatigue ,  Sore throat ,  Headache ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Body aches ,  Rashes ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Sore throat ,  Headache ,  Red eyes ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Headache ,  Dehydration ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Sore throat ,  Headache ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Chills ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Muscle aches ,  Fatigue ,  Loss of appetite ,  Chills ,  Sweating ,  Rashes ,  General discomfort ,  Fever ,  Irritability ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Body aches ,  Feverish ,  Chills ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Headache ,  Fatigue ,  Body aches ,  Rashes ,  Chills ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Loss of appetite ,  Body aches ,  Rashes ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Low-grade fever ,  Muscle aches ,  Fatigue ,  Abdominal pain ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Irritability ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Low-grade fever ,  Headache ,  Abdominal pain ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  Fever ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Loss of appetite ,  Body aches ,  Rashes ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Loss of appetite ,  Mouth sores ,  Blisters ,  Fatigue ,  Headache ,  General discomfort ,  Mild fever ,  Difficulty swallowing ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Mumps and is experiencing symptoms like Headache ,  Pain while chewing or swallowing ,  Fever ,  Muscle aches ,  Trouble chewing ,  Testicle pain and tenderness ,  Tiredness ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Fatigue ,  Swollen lymph nodes ,  Headache ,  Red eyes ,  Diarrhea ,  Vomiting ,  Body aches ,  Rashes ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Sweating ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  Rashes ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Muscle aches ,  Nausea ,  Fatigue ,  Abdominal pain ,  Sweating ,  General discomfort ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Vomiting ,  Bloody stools ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Rash ,  Fatigue ,  Sore throat ,  Headache ,  Cough ,  Red eyes ,  Diarrhea ,  Vomiting ,  Body aches ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Red eyes ,  Diarrhea ,  Abdominal pain ,  Rashes ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Low-grade fever ,  Nausea ,  Headache ,  Abdominal pain ,  Sweating ,  Fever ,  Irritability ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Fatigue ,  Sore throat ,  Cough ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Rashes ,  Feverish ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Rash on hands and feet ,  Loss of appetite ,  Irritability ,  Mouth sores ,  Red spots ,  Cough ,  Headache ,  General discomfort ,  Mild fever ,  Difficulty swallowing. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Fever ,  Irritability. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Cough ,  Red eyes ,  Vomiting ,  Chills ,  Feverish ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Abdominal pain ,  Loss of appetite ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Fever ,  Irritability ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Swollen lymph nodes ,  Cough ,  Diarrhea ,  Vomiting ,  Abdominal pain ,  Body aches ,  Rashes ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Muscle aches ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Nausea ,  Headache ,  Loss of appetite ,  Sweating ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Swollen lymph nodes ,  Red eyes ,  Diarrhea ,  Rashes ,  Chills ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Swollen lymph nodes ,  Diarrhea ,  Vomiting ,  Rashes ,  Chills ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Sweating ,  Body aches ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Stomach cramps ,  Fatigue ,  Body aches ,  Feverish ,  Rashes ,  Joint pain ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Pertussis (Whooping Cough) and is experiencing symptoms like Whooping cough ,  Fever ,  ""Sore ,   watery eyes"" ,  Exhaustion ,  Sneezing ,  Severe coughing fits ,  Vomiting after coughing ,  Fatigue ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Fatigue ,  Muscle aches ,  Body aches ,  Chills ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Avoid spicy foods, drink warm fluids. Medication: Antacids Pantoprazole 40mg if reflux suspected."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Red spots ,  Blisters ,  Cough ,  Sore muscles ,  Headache ,  General discomfort ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Fatigue ,  Swollen lymph nodes ,  Cough ,  Red eyes ,  Diarrhea ,  Rashes ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Loss of appetite ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,  Joint pain. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Diarrhea ,  Rashes ,  Chills ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Low-grade fever ,  Headache ,  Chills ,  Body aches ,  General discomfort ,  Fever ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Mumps and is experiencing symptoms like ""Swollen ,   painful salivary glands"" ,  Muscle aches ,  Tiredness ,  Trouble chewing ,  Fever ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Nausea ,  Stomach cramps ,  Headache ,  Loss of appetite ,  Muscle aches ,  Body aches ,  General discomfort ,  Chills ,  Joint pain ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  Body aches ,  Irritability. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Swollen lymph nodes ,  Headache ,  Cough ,  Red eyes ,  Feverish ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  General discomfort ,  Chills. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Irritability. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sore throat ,  Mouth sores ,  Red spots ,  Blisters ,  Difficulty swallowing ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Loss of appetite ,  Body aches ,  Chills ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Vomiting ,  Headache ,  Fatigue ,  Loss of appetite ,  Muscle aches ,  Feverish ,  General discomfort ,  Chills ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Rashes ,  Chills ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Headache ,  Red eyes ,  Diarrhea ,  Vomiting ,  Abdominal pain ,  Rashes ,  Chills ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Cough ,  Red eyes ,  Diarrhea ,  Rashes ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  General discomfort ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Irritability ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Cough ,  Red eyes ,  Rashes ,  Chills ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Loss of appetite ,  Irritability ,  Sore throat ,  Red spots ,  Mild fever ,  Difficulty swallowing ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Headache ,  Fatigue ,  Dehydration ,  Muscle aches ,  Chills ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Ibuprofen 400mg or Acetaminophen 500mg."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Low-grade fever ,  Muscle aches ,  Loss of appetite ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Diarrhea ,  Chills ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Headache ,  Fatigue ,  Rashes ,  General discomfort ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Stomach cramps ,  Fatigue ,  Feverish ,  Rashes ,  Joint pain ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
